SGC,Year,Total Net Migration,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-Permanent Residents,Net Interprovincial Migrants,Net Intraprovincial Migrants
48,1971-1972,9388,8243,8108,4798,0,265,4190,0
48,1972-1973,12004,9300,7887,4412,0,681,5498,0
48,1973-1974,10707,13789,10357,4512,0,-148,2911,0
48,1974-1975,34412,15688,9747,4632,0,684,23155,0
48,1975-1976,38300,15905,8481,4527,0,-230,26579,0
48,1976-1977,44994,13819,7512,4125,0,-148,34710,0
48,1977-1978,39595,11634,8434,4085,0,-233,32543,0
48,1978-1979,38680,8942,8495,4116,0,691,33426,0
48,1979-1980,56862,17195,6963,3912,0,1283,41435,0
48,1980-1981,61245,18567,6487,3678,0,1237,44250,0
48,1981-1982,53398,20642,8462,3610,0,1046,36562,0
48,1982-1983,-3276,13668,9215,4140,0,-219,-11650,0
48,1983-1984,-26083,10749,8947,3907,0,194,-31986,0
48,1984-1985,-14655,9843,8560,4244,0,589,-20771,0
48,1985-1986,3108,9211,7482,3823,0,1387,-3831,0
48,1986-1987,-20466,10637,7740,2803,0,3832,-29998,0
48,1987-1988,-10742,12661,7009,2537,0,4292,-23223,0
48,1988-1989,13507,15024,6374,2308,0,4077,-1528,0
48,1989-1990,21093,17992,6421,2326,0,1603,5593,0
48,1990-1991,17308,17903,7561,2737,0,-4754,8983,0
48,1991-1992,10420,17001,7888,2855,2462,-2069,2983,0
48,1992-1993,6862,18975,7379,2561,2463,-3651,-1181,0
48,1993-1994,7273,18207,6419,2304,2464,-2725,-1630,0
48,1994-1995,8835,16515,6842,2501,2462,-321,-556,0
48,1995-1996,16607,13870,6331,3005,2466,873,7656,0
48,1996-1997,34421,13783,7058,2973,2935,1376,26282,0
48,1997-1998,48984,11648,6820,3018,2934,983,43089,0
48,1998-1999,32652,11243,5563,2670,2934,2045,25191,0
48,1999-2000,31042,12865,5484,2810,2934,1111,22674,0
48,2000-2001,33262,16202,6435,2598,2931,3371,20457,0
48,2001-2002,40400,16689,5562,3886,3152,2304,26235,0
48,2002-2003,23028,13630,5509,3950,3152,2206,11903,0
48,2003-2004,23459,17116,6404,4037,3154,1258,10606,0
48,2004-2005,50565,17441,5529,4728,3152,2654,34423,0
48,2005-2006,66984,19930,6316,5003,3151,5723,45795,0
48,2006-2007,64280,20156,7108,6125,2299,13597,33809,0
48,2007-2008,51649,23804,7585,3634,2299,18778,15317,0
48,2008-2009,52194,25159,7668,4216,2300,19603,13184,0
48,2009-2010,21557,30005,6936,4040,2300,19,-3271,0
48,2010-2011,28087,30451,6801,5414,2299,-7121,8443,0
48,2011-2012,64565,34541,8225,4981,2220,7836,27652,0
48,2012-2013,84602,36794,7656,4944,2218,14140,38598,0
48,2013-2014,79412,41004,7592,5260,2217,7575,35382,0
48,2014-2015,37449,39587,8332,5359,2218,-18541,21594,0
48,2015-2016,26196,57841,9002,5105,2218,-10422,-15108,0
48,2016-2017,17595,44089,8041,4800,2243,-5451,-15559,0
48,2017-2018,29359,38697,8137,4857,2271,-540,-3247,0
48,2018-2019,48066,40725,8252,4927,2303,2821,5542,0
,,,,,,,,,
"Source: Statistics Canada, Demography Division",,,,,,,,,
"Last Updated: September 30, 2019",,,,,,,,,
Estimates based on  the 2016 Standard Geographical Classification (SGC),,,,,,,,,
Returning emigrants are Canadians who permanently emigrated from Canada and have returned as permanent residents.,,,,,,,,,
"Net temporary emigration is the net change of Canadian residents who have temporarily moved to another country, but intend on returning to live in Canada.",,,,,,,,,
"Net non permanent residents (NPRs) are the net change in the stock between two years. NPRs are those temporarily residing in Canada with a study, work or ministerâ€™s permit, or as a
refugee claimant, and family members living with them.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Source: Statistics Canada, TABLE NUMBER",,,,,,,,
,,,,,,,,,
,2011 Standard Geographical Classification (SGC),,,,,,,,
,"The net non permanent residents (NPRs) are obtained by subtracting the stocks of NPRs as of July 1st of two consecutive years. As there are no reliable administrative data available to directly estimate net number of NPRs at the subprovincial level, the provincial/territorial estimates by age and sex are disaggregated by subprovincial area, age and sex on the basis of the distribution coming from the most recent census (or from the National Household Survey (NHS) in 2011).

For the 2005/2006 and 2010/2011 years, the net NPRs are calculated using two different distributions, that is the 2001 and 2006 Censuses for the year 2005/2006, and the 2006 Census as well as the 2011 NHS for the year 2010/2011. This approach assumes that the two distributions are similar. If the two distributions of NPRs by subprovincial area vary, the net NPRs for years 2005/2006 and 2010/2011 will absorb all of the changes attributable to the difference between the two distributions that were used. For this reason, the net NPRs for years 2005/2006 and 2010/2011 should not be compared with the rest of the historical series. This warning is also relevant for net international migrants and for total net migrants for years 2005/2006 and 2010/2011, since they are derived using the net NPR estimates.",,,,,,,,