Entity,Code,Year,International calling costs,Passenger air transport cost,Sea freight cost
World,OWID_WRL,1930,100,100,100
World,OWID_WRL,1931,97.71,96.76,100.5
World,OWID_WRL,1932,95.41,93.53,101
World,OWID_WRL,1933,93.12,90.29,101.5
World,OWID_WRL,1934,90.82,87.06,102
World,OWID_WRL,1935,88.53,83.82,102.5
World,OWID_WRL,1936,86.23,80.59,103
World,OWID_WRL,1937,83.94,77.35,103.5
World,OWID_WRL,1938,81.64,74.12,104
World,OWID_WRL,1939,79.35,70.88,104.5
World,OWID_WRL,1940,77.05,67.65,105
World,OWID_WRL,1941,71.52,65.29,100.17
World,OWID_WRL,1942,65.99,62.94,95.33
World,OWID_WRL,1943,60.46,60.59,90.5
World,OWID_WRL,1944,54.93,58.24,85.67
World,OWID_WRL,1945,49.4,55.88,80.83
World,OWID_WRL,1946,43.87,53.53,76
World,OWID_WRL,1947,38.34,51.18,71.17
World,OWID_WRL,1948,32.81,48.82,66.33
World,OWID_WRL,1949,27.28,46.47,61.5
World,OWID_WRL,1950,21.75,44.12,56.67
World,OWID_WRL,1951,21.45,43.24,55.5
World,OWID_WRL,1952,21.15,42.35,54.33
World,OWID_WRL,1953,20.85,41.47,53.17
World,OWID_WRL,1954,20.55,40.59,52
World,OWID_WRL,1955,20.25,39.71,50.83
World,OWID_WRL,1956,19.95,38.82,49.67
World,OWID_WRL,1957,19.65,37.94,48.5
World,OWID_WRL,1958,19.35,37.06,47.33
World,OWID_WRL,1959,19.05,36.18,46.17
World,OWID_WRL,1960,18.75,35.29,45
World,OWID_WRL,1961,18.16,34.12,44.96
World,OWID_WRL,1962,17.58,32.94,44.92
World,OWID_WRL,1963,16.99,31.76,44.88
World,OWID_WRL,1964,16.41,30.59,44.83
World,OWID_WRL,1965,15.83,29.41,44.79
World,OWID_WRL,1966,15.24,28.24,44.75
World,OWID_WRL,1967,14.66,27.06,44.71
World,OWID_WRL,1968,14.08,25.88,44.67
World,OWID_WRL,1969,13.49,24.71,44.63
World,OWID_WRL,1970,12.91,23.53,44.59
World,OWID_WRL,1971,11.81,22.65,44.19
World,OWID_WRL,1972,10.72,21.76,43.8
World,OWID_WRL,1973,9.62,20.88,43.41
World,OWID_WRL,1974,8.53,20,43.01
World,OWID_WRL,1975,7.44,19.12,42.62
World,OWID_WRL,1976,6.34,18.24,42.23
World,OWID_WRL,1977,5.25,17.35,41.83
World,OWID_WRL,1978,4.15,16.47,41.44
World,OWID_WRL,1979,3.06,15.59,41.05
World,OWID_WRL,1980,1.96,14.71,40.66
World,OWID_WRL,1981,1.9,14.85,39.09
World,OWID_WRL,1982,1.84,15,37.53
World,OWID_WRL,1983,1.78,15.15,35.97
World,OWID_WRL,1984,1.72,15.29,34.41
World,OWID_WRL,1985,1.66,15.44,32.84
World,OWID_WRL,1986,1.6,15.59,31.28
World,OWID_WRL,1987,1.54,15.74,29.72
World,OWID_WRL,1988,1.48,15.88,28.16
World,OWID_WRL,1989,1.42,16.03,26.59
World,OWID_WRL,1990,1.36,16.18,25.03
World,OWID_WRL,1991,1.23,15.59,24.58
World,OWID_WRL,1992,1.11,15,24.13
World,OWID_WRL,1993,0.98,14.41,23.68
World,OWID_WRL,1994,0.85,13.82,23.23
World,OWID_WRL,1995,0.73,13.24,22.78
World,OWID_WRL,1996,0.6,12.65,22.33
World,OWID_WRL,1997,0.48,12.06,21.88
World,OWID_WRL,1998,0.35,11.47,21.43
World,OWID_WRL,1999,0.23,10.88,20.98
World,OWID_WRL,2000,0.1,10.29,20.53
World,OWID_WRL,2001,0.07,10.74,19.95
World,OWID_WRL,2002,0.07,10.71,20.14
World,OWID_WRL,2003,0.07,10.47,22.32
World,OWID_WRL,2004,0.03,10.62,
World,OWID_WRL,2005,,10.74,